ID=Eam702_000013;	200
ID=Eam702_000014;	1720
ID=Eam702_000017;	1421
ID=Eam702_000064;	280
ID=Eam702_000162;	922
ID=Eam702_000170;	767
ID=Eam702_000174;	0
ID=Eam702_000191;	1072
ID=Eam702_000198;	3259
ID=Eam702_000202;	0
ID=Eam702_000358;	1104
ID=Eam702_000359;	0
ID=Eam702_000501;	1884
ID=Eam702_000505;	4666
ID=Eam702_000509;	7273
ID=Eam702_000513;	9938
ID=Eam702_000516;	11271
ID=Eam702_000517;	12028
ID=Eam702_000523;	8987
ID=Eam702_000527;	4832
ID=Eam702_000534;	3471
ID=Eam702_000537;	2204
ID=Eam702_000539;	820
ID=Eam702_000543;	0
ID=Eam702_000598;	1525
ID=Eam702_000601;	4173
ID=Eam702_000606;	7701
ID=Eam702_000608;	8596
ID=Eam702_000620;	15270
ID=Eam702_000627;	18648
ID=Eam702_000637;	24614
ID=Eam702_000639;	25352
ID=Eam702_000645;	28478
ID=Eam702_000653;	32235
ID=Eam702_000657;	35352
ID=Eam702_000660;	37153
ID=Eam702_000668;	39956
ID=Eam702_000677;	43723
ID=Eam702_000683;	45991
ID=Eam702_000690;	47679
ID=Eam702_000692;	48500
ID=Eam702_000700;	51698
ID=Eam702_000708;	55051
ID=Eam702_000715;	57442
ID=Eam702_000719;	59061
ID=Eam702_000727;	61656
ID=Eam702_000732;	65203
ID=Eam702_000738;	69686
ID=Eam702_000744;	79432
ID=Eam702_000749;	85294
ID=Eam702_000751;	81571
ID=Eam702_000755;	80025
ID=Eam702_000758;	78692
ID=Eam702_000763;	76386
ID=Eam702_000768;	73755
ID=Eam702_000772;	70225
ID=Eam702_000775;	68600
ID=Eam702_000778;	65078
ID=Eam702_000783;	60891
ID=Eam702_000784;	55851
ID=Eam702_000791;	50990
ID=Eam702_000793;	48140
ID=Eam702_000797;	43851
ID=Eam702_000800;	40587
ID=Eam702_000804;	37766
ID=Eam702_000807;	36599
ID=Eam702_000809;	34417
ID=Eam702_000811;	30664
ID=Eam702_000812;	29357
ID=Eam702_000815;	24918
ID=Eam702_000820;	22476
ID=Eam702_000824;	19229
ID=Eam702_000826;	16758
ID=Eam702_000828;	12946
ID=Eam702_000831;	11933
ID=Eam702_000833;	11305
ID=Eam702_000834;	4925
ID=Eam702_000840;	1844
ID=Eam702_000844;	120
ID=Eam702_000847;	0
ID=Eam702_000857;	2627
ID=Eam702_000867;	14582
ID=Eam702_000870;	16146
ID=Eam702_000876;	19758
ID=Eam702_000879;	21550
ID=Eam702_000889;	26667
ID=Eam702_000894;	24132
ID=Eam702_000898;	22423
ID=Eam702_000901;	21492
ID=Eam702_000904;	15429
ID=Eam702_000915;	12817
ID=Eam702_000919;	9273
ID=Eam702_000922;	8201
ID=Eam702_000926;	7167
ID=Eam702_000929;	5317
ID=Eam702_000938;	0
ID=Eam702_001019;	2118
ID=Eam702_001025;	4401
ID=Eam702_001030;	7153
ID=Eam702_001035;	10482
ID=Eam702_001041;	13562
ID=Eam702_001055;	23472
ID=Eam702_001062;	29328
ID=Eam702_001065;	31659
ID=Eam702_001075;	37921
ID=Eam702_001078;	40484
ID=Eam702_001088;	45963
ID=Eam702_001093;	49218
ID=Eam702_001095;	50459
ID=Eam702_001097;	52110
ID=Eam702_001099;	53044
ID=Eam702_001105;	55494
ID=Eam702_001106;	56275
ID=Eam702_001109;	55503
ID=Eam702_001110;	48655
ID=Eam702_001135;	35086
ID=Eam702_001143;	32631
ID=Eam702_001148;	31123
ID=Eam702_001153;	27237
ID=Eam702_001163;	22982
ID=Eam702_001173;	21196
ID=Eam702_001177;	18162
ID=Eam702_001182;	16737
ID=Eam702_001185;	16160
ID=Eam702_001187;	12198
ID=Eam702_001195;	10239
ID=Eam702_001198;	9153
ID=Eam702_001200;	8323
ID=Eam702_001203;	7112
ID=Eam702_001205;	3968
ID=Eam702_001211;	2312
ID=Eam702_001215;	531
ID=Eam702_001262;	2537
ID=Eam702_001267;	5591
ID=Eam702_001273;	10332
ID=Eam702_001278;	5912
ID=Eam702_001281;	3776
ID=Eam702_001286;	0
ID=Eam702_001334;	3455
ID=Eam702_001338;	4944
ID=Eam702_001347;	10362
ID=Eam702_001349;	11612
ID=Eam702_001352;	12603
ID=Eam702_001353;	13133
ID=Eam702_001356;	15274
ID=Eam702_001361;	16649
ID=Eam702_001364;	17702
ID=Eam702_001367;	18680
ID=Eam702_001371;	21880
ID=Eam702_001375;	22972
ID=Eam702_001378;	23018
ID=Eam702_001387;	20790
ID=Eam702_001393;	17908
ID=Eam702_001401;	11970
ID=Eam702_001406;	9889
ID=Eam702_001410;	9138
ID=Eam702_001412;	8134
ID=Eam702_001413;	7007
ID=Eam702_001415;	5642
ID=Eam702_001416;	2416
ID=Eam702_001417;	0
ID=Eam702_001424;	2636
ID=Eam702_001427;	5117
ID=Eam702_001431;	8897
ID=Eam702_001433;	11131
ID=Eam702_001434;	12497
ID=Eam702_001441;	21630
ID=Eam702_001453;	29227
ID=Eam702_001457;	31941
ID=Eam702_001467;	36601
ID=Eam702_001488;	47021
ID=Eam702_001493;	52983
ID=Eam702_001494;	55246
ID=Eam702_001499;	58627
ID=Eam702_001503;	60970
ID=Eam702_001512;	65505
ID=Eam702_001520;	69267
ID=Eam702_001522;	70784
ID=Eam702_001527;	74228
ID=Eam702_001533;	78322
ID=Eam702_001538;	81328
ID=Eam702_001542;	82460
ID=Eam702_001549;	84032
ID=Eam702_001556;	87193
ID=Eam702_001560;	84966
ID=Eam702_001565;	83237
ID=Eam702_001570;	81669
ID=Eam702_001575;	79510
ID=Eam702_001579;	77387
ID=Eam702_001584;	71685
ID=Eam702_001590;	65358
ID=Eam702_001607;	56637
ID=Eam702_001621;	54092
ID=Eam702_001626;	53098
ID=Eam702_001631;	49622
ID=Eam702_001636;	48057
ID=Eam702_001639;	46497
ID=Eam702_001644;	40501
ID=Eam702_001653;	36950
ID=Eam702_001659;	34983
ID=Eam702_001666;	27019
ID=Eam702_001674;	22739
ID=Eam702_001681;	19099
ID=Eam702_001685;	10355
ID=Eam702_001700;	5917
ID=Eam702_001704;	1890
ID=Eam702_001711;	0
ID=Eam702_001744;	4121
ID=Eam702_001750;	6357
ID=Eam702_001758;	9408
ID=Eam702_001763;	12222
ID=Eam702_001771;	5738
ID=Eam702_001790;	2652
ID=Eam702_001791;	0
ID=Eam702_001797;	0
ID=Eam702_001805;	0
ID=Eam702_001911;	2286
ID=Eam702_001918;	0
ID=Eam702_001922;	0
ID=Eam702_002018;	3259
ID=Eam702_002023;	5249
ID=Eam702_002026;	7343
ID=Eam702_002035;	9594
ID=Eam702_002044;	7162
ID=Eam702_002046;	6430
ID=Eam702_002049;	3504
ID=Eam702_002054;	2194
ID=Eam702_002058;	695
ID=Eam702_002062;	0
ID=Eam702_002104;	3772
ID=Eam702_002115;	10281
ID=Eam702_002122;	13873
ID=Eam702_002130;	16647
ID=Eam702_002132;	18459
ID=Eam702_002139;	21014
ID=Eam702_002151;	26359
ID=Eam702_002160;	30514
ID=Eam702_002171;	35980
ID=Eam702_002178;	39925
ID=Eam702_002184;	42420
ID=Eam702_002193;	46771
ID=Eam702_002197;	49455
ID=Eam702_002205;	52531
ID=Eam702_002208;	52794
ID=Eam702_002211;	50091
ID=Eam702_002219;	44858
ID=Eam702_002222;	43724
ID=Eam702_002224;	41433
ID=Eam702_002228;	39428
ID=Eam702_002232;	37895
ID=Eam702_002235;	35632
ID=Eam702_002240;	32730
ID=Eam702_002245;	29843
ID=Eam702_002251;	25050
ID=Eam702_002255;	23940
ID=Eam702_002258;	22479
ID=Eam702_002264;	16667
ID=Eam702_002272;	14401
ID=Eam702_002277;	13668
ID=Eam702_002278;	11042
ID=Eam702_002283;	7202
ID=Eam702_002288;	3560
ID=Eam702_002294;	0
ID=Eam702_002438;	5869
ID=Eam702_002445;	9616
ID=Eam702_002453;	14804
ID=Eam702_002457;	13840
ID=Eam702_002460;	12496
ID=Eam702_002463;	7310
ID=Eam702_002472;	0
ID=Eam702_002502;	3916
ID=Eam702_002505;	5425
ID=Eam702_002509;	6516
ID=Eam702_002515;	11458
ID=Eam702_002520;	10435
ID=Eam702_002528;	3332
ID=Eam702_002531;	914
ID=Eam702_002535;	0
ID=Eam702_002540;	0
ID=Eam702_002672;	1075
ID=Eam702_002678;	0
ID=Eam702_002684;	0
ID=Eam702_002761;	5652
ID=Eam702_002767;	10092
ID=Eam702_002778;	13788
ID=Eam702_002785;	10023
ID=Eam702_002789;	6625
ID=Eam702_002796;	4101
ID=Eam702_002800;	733
ID=Eam702_002805;	0
ID=Eam702_002811;	2937
ID=Eam702_002819;	0
ID=Eam702_002825;	0
ID=Eam702_002912;	4637
ID=Eam702_002917;	7456
ID=Eam702_002921;	10464
ID=Eam702_002925;	13878
ID=Eam702_002930;	17280
ID=Eam702_002931;	18260
ID=Eam702_002934;	19837
ID=Eam702_002935;	21051
ID=Eam702_002947;	18377
ID=Eam702_002951;	15790
ID=Eam702_002954;	12102
ID=Eam702_002962;	10606
ID=Eam702_002967;	8760
ID=Eam702_002969;	4996
